"year","unitid","inst_name","state_name","inst_control","institution_level","hbcu"
"2018","100654","Alabama A & M University","Alabama","Public","Four or more years","Yes"
"2018","100724","Alabama State University","Alabama","Public","Four or more years","Yes"
"2018","101073","Concordia College Alabama","Alabama","Private not-for-profit","Four or more years","Yes"
"2018","101240","Gadsden State Community College","Alabama","Public","At least two but less than four years","Yes"
"2018","101675","Miles College","Alabama","Private not-for-profit","Four or more years","Yes"
"2018","101912","Oakwood University","Alabama","Private not-for-profit","Four or more years","Yes"
"2018","102030","Bishop State Community College","Alabama","Public","At least two but less than four years","Yes"
"2018","102058","Selma University","Alabama","Private not-for-profit","Four or more years","Yes"
"2018","102067","Shelton State Community College","Alabama","Public","At least two but less than four years","Yes"
"2018","102270","Stillman College","Alabama","Private not-for-profit","Four or more years","Yes"
"2018","102298","Talladega College","Alabama","Private not-for-profit","Four or more years","Yes"
"2018","102377","Tuskegee University","Alabama","Private not-for-profit","Four or more years","Yes"
"2018","131399","University of the District of Columbia","District of Columbia","Public","Four or more years","Yes"
"2018","131520","Howard University","District of Columbia","Private not-for-profit","Four or more years","Yes"
"2018","138716","Albany State University","Georgia","Public","Four or more years","Yes"
"2018","138947","Clark Atlanta University","Georgia","Private not-for-profit","Four or more years","Yes"
"2018","139719","Fort Valley State University","Georgia","Public","Four or more years","Yes"
"2018","140146","Interdenominational Theological Center","Georgia","Private not-for-profit","Four or more years","Yes"
"2018","140553","Morehouse College","Georgia","Private not-for-profit","Four or more years","Yes"
"2018","140720","Paine College","Georgia","Private not-for-profit","Four or more years","Yes"
"2018","140960","Savannah State University","Georgia","Public","Four or more years","Yes"
"2018","141060","Spelman College","Georgia","Private not-for-profit","Four or more years","Yes"
"2018","197993","Bennett College","North Carolina","Private not-for-profit","Four or more years","Yes"
"2018","198507","Elizabeth City State University","North Carolina","Public","Four or more years","Yes"
"2018","198543","Fayetteville State University","North Carolina","Public","Four or more years","Yes"
"2018","198756","Johnson C Smith University","North Carolina","Private not-for-profit","Four or more years","Yes"
"2018","198862","Livingstone College","North Carolina","Private not-for-profit","Four or more years","Yes"
"2018","199102","North Carolina A & T State University","North Carolina","Public","Four or more years","Yes"
"2018","199157","North Carolina Central University","North Carolina","Public","Four or more years","Yes"
"2018","199582","Saint Augustine's University","North Carolina","Private not-for-profit","Four or more years","Yes"
"2018","199643","Shaw University","North Carolina","Private not-for-profit","Four or more years","Yes"
"2018","199999","Winston-Salem State University","North Carolina","Public","Four or more years","Yes"
